course_name,topic_name,topic_url
Information Technology and Digital Strategy,data analytics,http://dbpedia.org/resource/Analytics
Information Technology and Digital Strategy,IT,http://dbpedia.org/resource/Information_technology
Information Technology and Digital Strategy,digital,http://dbpedia.org/resource/Digital_data
Information Technology and Digital Strategy,disruptive technologies,http://dbpedia.org/resource/Disruptive_innovation
Information Technology and Digital Strategy,project portfolio management,http://dbpedia.org/resource/Project_portfolio_management
Information Technology and Digital Strategy,strategic sourcing,http://dbpedia.org/resource/Strategic_sourcing
Information Technology and Digital Strategy,e-commerce,http://dbpedia.org/resource/E-commerce
Information Technology and Digital Strategy,privacy,http://dbpedia.org/resource/Privacy
Information Technology and Digital Strategy,cybersecurity,http://dbpedia.org/resource/Computer_security
"Business, Government and the Economy",public goods,http://dbpedia.org/resource/Public_good
"Business, Government and the Economy",international,http://dbpedia.org/resource/International
"Business, Government and the Economy",foreign direct investment,http://dbpedia.org/resource/Foreign_direct_investment
Managing in a Global Environment,supply chain management,http://dbpedia.org/resource/Supply_chain_management
Managing in a Global Environment,communication,http://dbpedia.org/resource/Communication
Managing in a Global Environment,international,http://dbpedia.org/resource/International
Managing in a Global Environment,human resource management,http://dbpedia.org/resource/Human_resource_management
Managing in a Global Environment,ethics,http://dbpedia.org/resource/Ethics
Financial Decisions under Uncertainty,corporate finance,http://dbpedia.org/resource/Corporate_finance
Financial Decisions under Uncertainty,equity,http://dbpedia.org/resource/Stock
Leadership,role-playing,http://dbpedia.org/resource/Role-playing
Corporate Governance,Corporate Governance,http://dbpedia.org/resource/Corporate_governance
Corporate Governance,corporate governance,http://dbpedia.org/resource/Corporate_governance
Live JMSB Experience,JMSB,http://dbpedia.org/resource/John_Molson_School_of_Business
Live JMSB Experience,Canadian,http://dbpedia.org/resource/Canada
Live JMSB Experience,critical thinking,http://dbpedia.org/resource/Critical_thinking
Starting a New Venture,entrepreneurship,http://dbpedia.org/resource/Entrepreneurship
Starting a New Venture,business plans,http://dbpedia.org/resource/Business_plan
Applied Field Project,EMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Applied Field Project,deliverable,http://dbpedia.org/resource/Deliverable
Economics,macroeconomic,http://dbpedia.org/resource/Macroeconomics
Economics,microeconomic principles,http://dbpedia.org/resource/Microfoundations
Economics,macro,http://dbpedia.org/resource/Macroeconomics
Economics,international,http://dbpedia.org/resource/International_law
Economics,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Financial Statement Analysis I,financial statements,http://dbpedia.org/resource/Financial_statement
Financial Statement Analysis I,accounting principles,http://dbpedia.org/resource/Accounting
Financial Statement Analysis I,depreciation,http://dbpedia.org/resource/Depreciation
Financial Statement Analysis I,investment analyst,http://dbpedia.org/resource/Financial_analyst
Financial Statement Analysis I,accounting,http://dbpedia.org/resource/Accounting
