Course_Name,Topic_name,topic_Url
The Asia-Pacific Rim Economies,Asian,http://dbpedia.org/resource/Asia
The Asia-Pacific Rim Economies,World War II,http://dbpedia.org/resource/World_War_II
The Asia-Pacific Rim Economies,Asian financial crisis,http://dbpedia.org/resource/1997_Asian_financial_crisis
The Corporate Economy,team production,http://dbpedia.org/resource/Principal–agent_problem
The Corporate Economy,principal-agent theory,http://dbpedia.org/resource/Principal–agent_problem
The Economics of Professional Sport,microeconomic theory,http://dbpedia.org/resource/Microeconomics
The Economics of Professional Sport,free agency,http://dbpedia.org/resource/National_Football_League
The Economics of Taxation,commodity,http://dbpedia.org/resource/Commodity
The Irish Economy and the European Union,Irish,http://dbpedia.org/resource/Republic_of_Ireland
The Irish Economy and the European Union,European Union,http://dbpedia.org/resource/European_Union
The Irish Economy and the European Union,Ireland,http://dbpedia.org/resource/Republic_of_Ireland
The Irish Economy and the European Union,currency,http://dbpedia.org/resource/Currency_union
Topics in Applied Econometrics,Econometrics,http://dbpedia.org/resource/Econometrics
Topics in Applied Econometrics,time-series,http://dbpedia.org/resource/Time_series
Topics in Applied Econometrics,cross-sectional data,http://dbpedia.org/resource/Cross-sectional_data
Topics in Applied Econometrics,univariate,http://dbpedia.org/resource/Univariate
Topics in Applied Econometrics,time series,http://dbpedia.org/resource/Time_series
Topics in Applied Econometrics,forecasting,http://dbpedia.org/resource/Forecasting
Topics in Applied Econometrics,trend-stationarity,http://dbpedia.org/resource/Trend_stationary
Topics in Applied Econometrics,logit,http://dbpedia.org/resource/Logistic_regression
Topics in Applied Econometrics,probit,http://dbpedia.org/resource/Probit_model
Topics in Applied Econometrics,probability,http://dbpedia.org/resource/Statistical_model
Topics in Applied Econometrics,microdata,http://dbpedia.org/resource/Microdata_(statistics)
Urban Economics,poverty,http://dbpedia.org/resource/Poverty
Urban Economics,urban renewal,http://dbpedia.org/resource/Urban_renewal
Child Development_I,cognitive,http://dbpedia.org/resource/Cognition
Child Development_I,social learning,http://dbpedia.org/resource/Social_learning_theory
Child Development_II: Ecology of the Family,modern family,http://dbpedia.org/resource/Modern_Family
Child Development_II: Ecology of the Family,parenting styles,http://dbpedia.org/resource/Parenting_styles
Child Studies Field Experience: Inclusive Practices inChildhood Settings,cognitive,http://dbpedia.org/resource/Cognition
Children and Technology,Internet,http://dbpedia.org/resource/Internet
Children and Technology,communication,http://dbpedia.org/resource/Communication
Children Families and Social Policy,Canada,http://dbpedia.org/resource/Canada
