Topics in Scientific Computation,ordinary differential equations,http://dbpedia.org/resource/Ordinary_differential_equation
Topics in Scientific Computation,collocation,http://dbpedia.org/resource/Collocation_method
Topics in Scientific Computation,partial differential equations,http://dbpedia.org/resource/Partial_differential_equation
Topics in Scientific Computation,nonlinear,http://dbpedia.org/resource/Nonlinear_system
Topics in Scientific Computation,diffusion,http://dbpedia.org/resource/Diffusion_equation
Numerical Analysis of Nonlinear Equations,Numerical Analysis,http://dbpedia.org/resource/Numerical_analysis
Numerical Analysis of Nonlinear Equations,nonlinear,http://dbpedia.org/resource/Nonlinear_system
Numerical Analysis of Nonlinear Equations,numerical analysis,http://dbpedia.org/resource/Numerical_analysis
Numerical Analysis of Nonlinear Equations,numerical simulation,http://dbpedia.org/resource/Computer_simulation
Numerical Analysis of Nonlinear Equations,nonlinear,http://dbpedia.org/resource/Nonlinear_system
Numerical Analysis of Nonlinear Equations,homotopy,http://dbpedia.org/resource/Homotopy
Numerical Analysis of Nonlinear Equations,asymptotic stability,http://dbpedia.org/resource/Lyapunov_stability
Numerical Analysis of Nonlinear Equations,travelling wave,http://dbpedia.org/resource/Wave
Numerical Analysis of Nonlinear Equations,discretization,http://dbpedia.org/resource/Discretization
Digital Geometric Modelling,digital geometry,http://dbpedia.org/resource/Digital_geometry
Digital Geometric Modelling,pipeline,http://dbpedia.org/resource/Graphics_pipeline
Digital Geometric Modelling,digital,http://dbpedia.org/resource/Digital_electronics
Digital Geometric Modelling,3D,http://dbpedia.org/resource/3D_modeling
Digital Geometric Modelling,geometry,http://dbpedia.org/resource/Geometry
Digital Geometric Modelling,wide range,http://dbpedia.org/resource/Fender_Wide_Range
Digital Geometric Modelling,computer-aided design,http://dbpedia.org/resource/Computer-aided_design
Digital Geometric Modelling,reverse engineering,http://dbpedia.org/resource/Reverse_engineering
Digital Geometric Modelling,triangle,http://dbpedia.org/resource/Computer_graphics
Digital Geometric Modelling,3D,http://dbpedia.org/resource/3D_modeling
Digital Geometric Modelling,geometry,http://dbpedia.org/resource/Geometry
Digital Geometric Modelling,triangle mesh,http://dbpedia.org/resource/Triangle_mesh
Digital Geometric Modelling,geometry,http://dbpedia.org/resource/Geometry
